date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-31,31.35483870967742,16.741935483870968,0.0,11.064516129032258,6.064516129032258,3.9475806451612905,45.903225806451616,8.380376344086022,24.233870967741936,24.583333333333332,24.643817204301076,7.962365591397849,9.471774193548388,38.63978494623656,0.00026881720430107527,1013.9771505376344,22.844086021505376,9.97983870967742,135.497311827957,5.243279569892473
2009-02-28,34.5,17.321428571428573,0.0,11.378571428571428,6.571428571428571,4.282738095238095,45.607142857142854,6.349702380952381,26.842261904761905,27.104166666666668,27.477678571428573,8.296130952380953,2.488095238095238,29.404761904761905,0.0,1012.1205357142857,24.970238095238095,10.0,184.64434523809524,5.566964285714286
2009-03-31,36.58064516129032,20.548387096774192,0.0,11.6,6.967741935483871,4.489247311827957,45.87096774193548,8.893817204301076,29.478494623655912,29.635752688172044,29.961021505376344,7.814516129032258,4.646505376344086,31.05510752688172,0.010080645161290322,1010.5873655913979,27.778225806451612,9.959677419354838,200.01478494623655,5.768817204301075
2009-04-30,39.03333333333333,22.366666666666667,0.0,11.6,7.6,4.747222222222222,44.86666666666667,12.494444444444444,32.53055555555556,32.609722222222224,32.294444444444444,8.315277777777778,3.254166666666667,36.18333333333333,0.00125,1008.2305555555556,30.094444444444445,10.0,234.12083333333334,6.822222222222222
2009-05-31,36.54838709677419,22.612903225806452,0.0,12.390322580645162,7.129032258064516,4.481182795698925,46.774193548387096,18.438172043010752,31.544354838709676,31.588709677419356,29.96505376344086,11.40725806451613,11.065860215053764,55.780913978494624,0.02782258064516129,1006.8508064516129,28.850806451612904,9.879032258064516,282.19220430107526,9.498655913978494
2009-06-30,30.433333333333334,22.5,0.0,12.323333333333332,6.1,3.8666666666666667,45.4,21.45277777777778,28.579166666666666,28.59861111111111,26.20277777777778,12.134722222222223,47.9875,77.52638888888889,0.11277777777777778,1006.4513888888889,25.855555555555554,9.154166666666667,256.64166666666665,9.593055555555555
2009-07-31,23.419354838709676,21.774193548387096,0.0,6.703225806451613,5.0,3.0336021505376345,47.45161290322581,21.787634408602152,24.138440860215052,25.102150537634408,22.547043010752688,16.236559139784948,96.84005376344086,95.56048387096774,0.4322580645161291,1004.5120967741935,22.405913978494624,6.579301075268817,241.67741935483872,11.39516129032258
2009-08-31,25.0,21.580645161290324,0.0,7.667741935483871,5.0,3.2083333333333335,47.70967741935484,21.806451612903224,24.497311827956988,25.599462365591396,23.012096774193548,10.981182795698924,83.78897849462365,93.0739247311828,0.04516129032258065,1007.6438172043011,22.768817204301076,5.85752688172043,253.06182795698925,8.19758064516129
2009-09-30,27.4,21.1,0.0,9.479999999999999,5.2,3.4944444444444445,45.63333333333333,22.005555555555556,26.005555555555556,26.605555555555554,24.066666666666666,8.852777777777778,61.16388888888889,89.15138888888889,0.10722222222222223,1008.6152777777778,23.57777777777778,5.979166666666667,267.725,6.183333333333334
2009-10-31,28.548387096774192,19.35483870967742,0.0,10.741935483870968,5.645161290322581,3.689516129032258,48.38709677419355,17.186827956989248,24.942204301075268,25.5,24.06451612903226,9.290322580645162,37.983870967741936,69.32661290322581,0.11263440860215053,1011.1424731182796,23.13978494623656,8.583333333333334,160.3534946236559,5.706989247311828
2009-11-30,27.566666666666666,18.5,0.0,8.479999999999999,5.633333333333334,3.602777777777778,45.8,16.71527777777778,23.725,24.476388888888888,23.269444444444446,9.444444444444445,31.8125,71.20277777777778,0.12069444444444445,1011.9638888888888,22.133333333333333,8.475,112.48472222222222,6.05
2009-12-31,29.161290322580644,16.548387096774192,0.0,10.161290322580646,5.774193548387097,3.7298387096774195,49.03225806451613,12.181451612903226,23.13978494623656,23.467741935483872,23.068548387096776,8.169354838709678,12.158602150537634,53.01075268817204,0.0008064516129032259,1013.8010752688172,21.631720430107528,9.975806451612904,129.8534946236559,5.294354838709677
2010-01-31,30.0,16.967741935483872,0.0,11.093548387096774,5.935483870967742,3.814516129032258,49.38709677419355,10.153225806451612,23.428763440860216,23.751344086021504,23.512096774193548,7.993279569892473,16.198924731182796,45.681451612903224,0.004301075268817204,1014.8091397849462,22.333333333333332,9.94758064516129,133.17876344086022,5.30241935483871
2010-02-28,33.357142857142854,16.964285714285715,0.0,11.378571428571428,6.321428571428571,4.162202380952381,42.714285714285715,8.959821428571429,25.22172619047619,25.563988095238095,25.700892857142858,8.566964285714286,8.492559523809524,39.65922619047619,0.0,1013.0223214285714,24.144345238095237,10.0,200.24404761904762,5.84375
2010-03-31,36.774193548387096,20.096774193548388,0.0,11.6,6.935483870967742,4.501344086021505,49.354838709677416,9.368279569892474,28.995967741935484,29.256720430107528,29.420698924731184,9.259408602150538,3.739247311827957,33.166666666666664,0.00040322580645161296,1011.6908602150538,27.461021505376344,10.0,235.91532258064515,6.676075268817204
2010-04-30,38.4,22.033333333333335,0.0,11.463333333333335,7.5,4.691666666666666,45.5,12.383333333333333,31.4125,31.43611111111111,31.295833333333334,9.191666666666666,7.7625,36.75555555555555,0.002361111111111111,1009.6166666666667,29.645833333333332,9.9625,267.2625,7.013888888888889
2010-05-31,37.903225806451616,23.322580645161292,0.0,12.42258064516129,7.354838709677419,4.643817204301075,48.16129032258065,17.856182795698924,32.038978494623656,32.04838709677419,30.70967741935484,11.739247311827956,10.403225806451612,51.361559139784944,0.001075268817204301,1006.5430107526881,29.788978494623656,9.991935483870968,280.3467741935484,9.670698924731182
