Sr. No.,State_Name_With_LGD_Code,DISTRICT,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,2015_Pre-monsoon,2015_Post-monsoon,2016_Pre-monsoon,2016_Post-monsoon,2017_Pre-monsoon,2017_Post-monsoon,2018_Pre-monsoon,2018_Post-monsoon,2019_Pre-monsoon,2019_Post-monsoon,2020_Pre-monsoon,2020_Post-monsoon,2021_Pre-monsoon,2021_Post-monsoon,2022_Pre-monsoon,2022_Post-monsoon,STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
3523,Maharashtra_27,PUNE,Indapur_4516,,Bhigvan,Bhigvan,Dug well,SGWD,W181837074452101,18.306643,74.753375,12.1,Basalt,11.8,6.4,12.0,3.0,11.6,1.6,12.0,7.4,12.05,4.5,8.5,2.7,6.8,4.1,7.5,2.6,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3524,Maharashtra_27,PUNE,Indapur_4516,,Galand Wadi No.1,Galand Wadi No.1,Dug well,SGWD,W180830074593801,18.14581,74.995735,8.25,Basalt,3.6,3.5,4.2,1.1,4.0,2.0,3.6,3.0,4.0,2.0,3.11,1.3,5.25,0.1,8.0,1.5,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3525,Maharashtra_27,PUNE,Indapur_4516,,Hingangaon,Hingangaon,Dug well,SGWD,W180432075061001,18.0794,75.0911,4.6,Basalt,3.9,3.8,4.5,0.9,3.6,1.95,3.8,2.1,4.5,3.1,4.0,2.7,3.6,0.1,3.9,1.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3526,Maharashtra_27,PUNE,Indapur_4516,,Indapur,Indapur,Dug well,SGWD,W180635075013501,18.1133,75.0291,14.0,Basalt,11.7,4.8,10.6,0.7,10.0,4.0,8.0,6.6,10.6,3.2,5.8,1.9,5.5,3.0,5.5,3.5,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3527,Maharashtra_27,PUNE,Indapur_4516,,Kalamb,Kalamb,Dug well,SGWD,W180147074470401,18.024004,74.770167,15.8,Basalt,5.8,4.7,15.5,1.7,9.8,1.8,15.7,4.0,15.75,3.5,7.1,1.2,5.7,3.6,6.0,1.7,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3528,Maharashtra_27,PUNE,Indapur_4516,,Kauthali,Kauthali,Dug well,SGWD,W180909074553201,18.1494,74.9075,9.15,Basalt,9.0,8.0,9.1,5.0,8.3,4.0,8.1,8.0,9.1,6.1,7.0,3.9,7.2,4.0,3.6,3.8,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3530,Maharashtra_27,PUNE,Indapur_4516,,Lamjewadi,Lamjewadi,Dug well,SGWD,W181348074395501,18.240304,74.664167,12.6,Basalt,3.7,2.2,11.4,2.0,12.5,1.1,11.0,7.8,11.4,2.0,3.4,1.0,3.7,3.5,4.0,2.9,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3531,Maharashtra_27,PUNE,Indapur_4516,,Loni,Loni,Dug well,SGWD,W181213074545601,18.2045,74.9144,8.85,Basalt,6.2,4.6,6.2,2.8,6.2,2.3,6.3,5.9,8.8,3.4,5.5,1.7,3.7,2.5,4.4,1.7,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3532,Maharashtra_27,PUNE,Indapur_4516,,Madanwadi,Madanwadi,Dug well,SGWD,W181658074444801,18.2831,74.7472,14.4,Basalt,5.7,1.9,9.7,0.01,12.7,2.1,12.2,1.2,12.4,0.1,10.2,0.5,6.6,1.8,4.9,0.3,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3533,Maharashtra_27,PUNE,Indapur_4516,,Nimgaon Ketki,Nimgaon Ketki,Dug well,SGWD,W180504074554401,18.076504,74.898767,18.3,Basalt,18.0,12.0,18.0,5.2,12.8,4.6,18.0,9.5,18.0,6.4,10.0,4.2,12.8,4.1,5.4,4.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3534,Maharashtra_27,PUNE,Indapur_4516,,Reda,Reda,Dug well,SGWD,W180017074551502,18.001604,74.917367,8.9,Basalt,4.5,3.4,5.2,0.2,8.5,6.4,6.1,5.3,5.0,4.0,2.7,0.8,4.8,0.1,7.2,3.8,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3535,Maharashtra_27,PUNE,Indapur_4516,,Rui,Rui,Dug well,SGWD,W181035074510001,18.172,74.8484,7.5,Basalt,3.7,2.6,6.75,3.2,7.0,1.3,6.5,6.5,6.75,5.0,7.0,1.8,5.2,1.7,7.0,0.9,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3536,Maharashtra_27,PUNE,Indapur_4516,,Sarati,Sarati,Dug well,SGWD,W175452075002701,17.9167,75.0082,12.5,Basalt,7.9,7.0,8.0,0.5,12.0,4.8,5.2,4.6,11.0,8.9,5.3,1.2,3.05,1.6,8.6,0.9,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
